checking_account_status,duration_months,credit_history,purpose,credit_amount,savings_account,employment_since,installment_rate_pct,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,num_dependents,telephone,foreign_worker,target
<0 DM,6,kritik hesap,radyo/TV,1169,bilinmiyor,>=7 yil,4,A93,A101,4,A121,67,A143,kendi evi,2,vasifli,1,A192,A201,0
0-200 DM,48,simdiye odendi,radyo/TV,5951,<100 DM,1-4 yil,2,A92,A101,2,A121,22,A143,kendi evi,1,vasifli,1,A191,A201,1
hesap yok,12,kritik hesap,egitim,2096,<100 DM,4-7 yil,2,A93,A101,3,A121,49,A143,kendi evi,1,vasifsiz-yerlesik,2,A191,A201,0
<0 DM,42,simdiye odendi,mobilya,7882,<100 DM,4-7 yil,2,A93,A103,4,A122,45,A143,ucretsiz,1,vasifli,2,A191,A201,0
<0 DM,24,gecmiste gecikme,araba(yeni),4870,<100 DM,1-4 yil,3,A93,A101,4,A124,53,A143,ucretsiz,2,vasifli,2,A191,A201,1
hesap yok,36,simdiye odendi,egitim,9055,bilinmiyor,1-4 yil,2,A93,A101,4,A124,35,A143,ucretsiz,1,vasifsiz-yerlesik,2,A192,A201,0
hesap yok,24,simdiye odendi,mobilya,2835,500-1000 DM,>=7 yil,3,A93,A101,4,A122,53,A143,kendi evi,1,vasifli,1,A191,A201,0
0-200 DM,36,simdiye odendi,araba(eski),6948,<100 DM,1-4 yil,2,A93,A101,2,A123,35,A143,kira,1,yonetici/uzman,1,A192,A201,0
hesap yok,12,simdiye odendi,radyo/TV,3059,>=1000 DM,4-7 yil,2,A91,A101,4,A121,61,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
0-200 DM,30,kritik hesap,araba(yeni),5234,<100 DM,issiz,4,A94,A101,2,A123,28,A143,kendi evi,2,yonetici/uzman,1,A191,A201,1
0-200 DM,12,simdiye odendi,araba(yeni),1295,<100 DM,<1 yil,3,A92,A101,1,A123,25,A143,kira,1,vasifli,1,A191,A201,1
<0 DM,48,simdiye odendi,is,4308,<100 DM,<1 yil,3,A92,A101,4,A122,24,A143,kira,1,vasifli,1,A191,A201,1
0-200 DM,12,simdiye odendi,radyo/TV,1567,<100 DM,1-4 yil,1,A92,A101,1,A123,22,A143,kendi evi,1,vasifli,1,A192,A201,0
<0 DM,24,kritik hesap,araba(yeni),1199,<100 DM,>=7 yil,4,A93,A101,4,A123,60,A143,kendi evi,2,vasifsiz-yerlesik,1,A191,A201,1
<0 DM,15,simdiye odendi,araba(yeni),1403,<100 DM,1-4 yil,2,A92,A101,4,A123,28,A143,kira,1,vasifli,1,A191,A201,0
<0 DM,24,simdiye odendi,radyo/TV,1282,100-500 DM,1-4 yil,4,A92,A101,2,A123,32,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,1
hesap yok,24,kritik hesap,radyo/TV,2424,bilinmiyor,>=7 yil,4,A93,A101,4,A122,53,A143,kendi evi,2,vasifli,1,A191,A201,0
<0 DM,30,kredi yok/hepsi odendi,is,8072,bilinmiyor,<1 yil,2,A93,A101,3,A123,25,A141,kendi evi,3,vasifli,1,A191,A201,0
0-200 DM,24,simdiye odendi,araba(eski),12579,<100 DM,>=7 yil,4,A92,A101,2,A124,44,A143,ucretsiz,1,yonetici/uzman,1,A192,A201,1
hesap yok,24,simdiye odendi,radyo/TV,3430,500-1000 DM,>=7 yil,3,A93,A101,2,A123,31,A143,kendi evi,1,vasifli,2,A192,A201,0
hesap yok,9,kritik hesap,araba(yeni),2134,<100 DM,1-4 yil,4,A93,A101,4,A123,48,A143,kendi evi,3,vasifli,1,A192,A201,0
<0 DM,6,simdiye odendi,radyo/TV,2647,500-1000 DM,1-4 yil,2,A93,A101,3,A121,44,A143,kira,1,vasifli,2,A191,A201,0
<0 DM,10,kritik hesap,araba(yeni),2241,<100 DM,<1 yil,1,A93,A101,3,A121,48,A143,kira,2,vasifsiz-yerlesik,2,A191,A202,0
0-200 DM,12,kritik hesap,araba(eski),1804,100-500 DM,<1 yil,3,A93,A101,4,A122,44,A143,kendi evi,1,vasifli,1,A191,A201,0
hesap yok,10,kritik hesap,mobilya,2069,bilinmiyor,1-4 yil,2,A94,A101,1,A123,26,A143,kendi evi,2,vasifli,1,A191,A202,0
<0 DM,6,simdiye odendi,mobilya,1374,<100 DM,1-4 yil,1,A93,A101,2,A121,36,A141,kendi evi,1,vasifsiz-yerlesik,1,A192,A201,0
hesap yok,6,kredi yok/hepsi odendi,radyo/TV,426,<100 DM,>=7 yil,4,A94,A101,4,A123,39,A143,kendi evi,1,vasifsiz-yerlesik,1,A191,A201,0
>=200 DM,12,bu bankada odendi,radyo/TV,409,>=1000 DM,1-4 yil,3,A92,A101,3,A121,42,A143,kira,2,vasifli,1,A191,A201,0
0-200 DM,7,simdiye odendi,radyo/TV,2415,<100 DM,1-4 yil,3,A93,A103,2,A121,34,A143,kendi evi,1,vasifli,1,A191,A201,0
